Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-21,22:00 (01:30),La Liga,Matchweek 2,Sat,Away,D,1.0,1.0,Athletic Club,1.4,1.5,67.0,9394.0,Sergio Busquets,4-3-3,Juan Martínez,Match Report,
2021-09-20,21:00 (00:30),La Liga,Matchweek 5,Mon,Home,D,1.0,1.0,Granada,1.8,0.7,76.0,27097.0,Sergio Busquets,4-3-3,Santiago Jaime,Match Report,
2021-09-23,22:00 (01:30),La Liga,Matchweek 6,Thu,Away,D,0.0,0.0,Cádiz,0.6,1.4,67.0,12180.0,Sergio Busquets,4-3-3,Carlos del Cerro,Match Report,
2021-10-30,21:00 (00:30),La Liga,Matchweek 12,Sat,Home,D,1.0,1.0,Alavés,1.4,0.8,79.0,37278.0,Sergio Busquets,4-3-3,Jorge Figueroa,Match Report,
2021-11-06,16:15 (20:45),La Liga,Matchweek 13,Sat,Away,D,3.0,3.0,Celta Vigo,1.1,1.5,48.0,13146.0,Sergio Busquets,4-3-3,Alejandro Hernández,Match Report,
2021-11-23,21:00 (01:30),Champions Lg,Group stage,Tue,Home,D,0.0,0.0,pt Benfica,1.4,1.2,65.0,49572.0,Sergio Busquets,3-4-3,Sergey Karasev,Match Report,
2021-12-12,16:15 (20:45),La Liga,Matchweek 17,Sun,Away,D,2.0,2.0,Osasuna,0.9,0.3,61.0,21427.0,Sergio Busquets,3-3-3-1,Juan Martínez,Match Report,
2021-12-21,21:30 (02:00),La Liga,Matchweek 4,Tue,Away,D,1.0,1.0,Sevilla,2.0,0.4,58.0,31358.0,Sergio Busquets,4-3-3,Carlos del Cerro,Match Report,
2022-01-08,18:30 (23:00),La Liga,Matchweek 20,Sat,Away,D,1.0,1.0,Granada,0.8,1.7,64.0,14442.0,Sergio Busquets,4-3-3,Pablo González,Match Report,
2022-02-13,21:00 (01:30),La Liga,Matchweek 24,Sun,Away,D,2.0,2.0,Espanyol,1.6,1.3,64.0,25049.0,Sergio Busquets,4-3-3,Alejandro Hernández,Match Report,
2022-02-17,18:45 (23:15),Europa Lg,Knockout round play-offs,Thu,Home,D,1.0,1.0,it Napoli,2.4,0.8,66.0,73525.0,Gerard Piqué,4-3-3,István Kovács,Match Report,Leg 1 of 2
2022-03-10,21:00 (01:30),Europa Lg,Round of 16,Thu,Home,D,0.0,0.0,tr Galatasaray,1.6,0.2,68.0,61740.0,Jordi Alba,4-3-3,Benoît Bastien,Match Report,Leg 1 of 2
2022-04-07,21:00 (00:30),Europa Lg,Quarter-finals,Thu,Away,D,1.0,1.0,de Eint Frankfurt,0.9,1.4,65.0,48000.0,Sergio Busquets,4-3-3,Srđan Jovanović,Match Report,Leg 1 of 2
2022-05-15,19:30 (23:00),La Liga,Matchweek 37,Sun,Away,D,0.0,0.0,Getafe,0.2,0.4,71.0,13072.0,Sergio Busquets,4-3-3,Jesús Gil,Match Report,
